141.82.8.54, 2019-03-12 00:31:23, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000332
141.82.8.54, 2019-03-12 00:31:23, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000352
141.82.8.54, 2019-03-12 00:31:23, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000347
141.82.8.54, 2019-03-12 00:31:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002255
141.82.8.54, 2019-03-12 00:31:23, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000450
141.82.8.54, 2019-03-12 00:31:23, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000345
141.82.8.54, 2019-03-12 00:31:23, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000434
141.82.8.54, 2019-03-12 00:31:23, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000398
141.82.8.54, 2019-03-12 00:31:23, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000417
141.82.8.54, 2019-03-12 00:31:23, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000358
141.82.8.54, 2019-03-12 00:33:25, GET, /ElementarTrumpf/ElementarTrumpfControl/index, HTTP/1.1, 200, 0.002584
141.82.8.54, 2019-03-12 00:33:25, GET, /ElementarTrumpf/static/images/VK.gif, HTTP/1.1, 200, 0.000505
141.82.8.54, 2019-03-12 00:35:08, GET, /ElementarTrumpf/ElementarTrumpfControl/index, HTTP/1.1, 200, 0.002915
141.82.8.54, 2019-03-12 00:35:08, GET, /ElementarTrumpf/static/images/VK.gif, HTTP/1.1, 200, 0.000517
141.82.8.54, 2019-03-12 00:35:09, GET, /ElementarTrumpf/ElementarTrumpfControl/index, HTTP/1.1, 200, 0.001754
141.82.8.54, 2019-03-12 00:35:09, GET, /ElementarTrumpf/static/images/VK.gif, HTTP/1.1, 200, 0.000441
141.82.8.54, 2019-03-12 00:35:37, GET, /ElementarTrumpf/ElementarTrumpfControl/index, HTTP/1.1, 200, 0.002348
141.82.8.54, 2019-03-12 00:35:37, GET, /ElementarTrumpf/static/images/VK.gif, HTTP/1.1, 200, 0.000518
